id,customerID,client_name,client_eic,gas_node,gas_operator,serNUM,mfDEV,typeDEV,chNUM,address,scenario,note
20,7,"ТОВ "Ростра"",56XSO00000000075,0751,CHERNIGIVGAS,1500,1,11,0,0,hourly,0
21,7,"ТОВ "ВіДі Автострада"",56XSO00000000076,0761,KYIVGAS,2087,1,2,0,0,hourly,0
22,7,"ТОВ "ВіДі Автосіті Кільцева"",56XSO00000000077,0771,KYIVGAS,3414,1,2,0,0,hourly,0
23,4,"ПАТ "Бердічевський машинобудівний завод "Прогрес"",56XO0000061BU00H,0441,ZHYTOMYRGAS,10139,3,2,0,"Харків, вул. Сагайдачного 14",hourly,0
24,4,"ПАТ "Бердічевський машинобудівний завод "Прогрес"",56XO0000061BU00H,0442,ZHYTOMYRGAS,10191,3,2,0,"Харків, вул. Сагайдачного 14",hourly,0
25,4,"АТ "Галичфарм"",56XO00005M88500C,0432,LVIVGAS,11148,3,2,0,"Харків, вул. Сагайдачного 14",hourly,0
26,4,"АТ "Галичфарм"",56XO00005M88500C,0433,LVIVGAS,11148,3,2,1,"Харків, вул. Сагайдачного 14",hourly,0
27,7,"ТОВ "Скриня плюс"",56XSO00000000078,0781,LVIVGAS,5548,3,2,0,0,hourly,0
28,8,"КП "Теплоенергетик"(Могилів-Подільск)",56XSO00000000081,0811,VINNITCAGAS,998,1,11,0,0,hourly,0
29,8,"МКП "Енергоресурс"",56XSO00000000082,0821,VINNITCAGAS,753,1,11,0,0,hourly,0
30,8,"КП "Теплозабезпечення" (Коростень)",56XSO00000000083,0831,ZHYTOMYRGAS,20873,1,15,0,0,hourly,0
31,8,"Котельня КП "Озерне"",56XSO00000000084,0841,ZHYTOMYRGAS,1444,1,11,0,0,hourly,0
32,8,"ТОВ "Крігер Енергія"",56XSO00000000085,0851,ZHYTOMYRGAS,2327,1,2,0,0,hourly,0
33,8,"КП "Андріївська тепломережа"",56XSO00000000086,0861,ZAPORIZHGAS,6927,1,5,0,0,hourly,0
34,8,"Барський ГПК ім.Грушевського (Гуртожиток 2)",56XSO00000000087,0871,VINNITCAGAS,260,1,12,0,0,hourly,0
35,8,"Вінницький коледж НУХТ",56XSO00000000088,0881,VINNITCAGAS,21527,1,15,0,0,hourly,0
36,8,"ОСББ "Гагарінський 2010" ",56XSO00000000089,0891,DNIPROGAS,7303,1,5,0,0,hourly,0
37,8,"ОК "Будинок 27 Д"",56XSO00000000810,08101,DNIPROGAS,6784,1,5,0,0,hourly,0
38,8,"ОСББ "Дарницька 19"",56XSO00000000811,08111,DNIPROGAS,5237,1,5,0,0,hourly,0
39,8,"КП "Новотроїцький сількомунгосп"",56XSO00000000812,08121,ZAPORIZHGAS,6790,1,5,0,0,hourly,0
40,8,"КП "Червонопільський сількомунгосп"",56XSO00000000813,08131,ZAPORIZHGAS,1613,1,4,0,0,hourly,0
41,7,"ПБП "ВИМАЛ"",56XSO00000000079,0791,CHERNIGIVGAS,550,1,11,0,0,hourly,0
42,7,"ПБП "ВИМАЛ"",56XSO00000000079,0792,CHERNIGIVGAS,1402,1,2,0,0,hourly,0
43,9,"ТОВ "Бердичівський пивоварний завод" ",56XSO00000000091,0911,ZHYTOMYRGAS,3515,3,2,0,0,hourly,0
44,9,"СТОВ "Батьківщина" (Прилуки)",56XSO00000000092,0921,CHERNIGIVGAS,3614,1,2,0,0,hourly,0
45,9,"СТОВ "Батьківщина"  (Срібне)",56XSO00000000093,0931,CHERNIGIVGAS,2761,1,2,0,0,hourly,0
46,9,"ПрАТ "Березнівське птахопідприємство" ",56XSO00000000094,0941,RIVNEGAS,2766,1,2,0,0,hourly,0
47,18,"Потребитель 4 ",56XSO00000000007,000000000072,GAS_1,10191,3,2,0,0,hourly,0
48,10,"ТОВ "Сучасна Архітектура Міст"",56XSO00000001001,1012,KYIVOBLGAS,7817,1,5,0,0,hourly,0
49,11,"ТОВ "Берегівське хлібоприймальне підприємство"",56XO0001371H7002,1111,ZAKARPATGAS,6859,1,5,0,0,hourly,0
50,11,"ТОВ "Берегівське хлібоприймальне підприємство"",56XO0001371H7002,1112,ZAKARPATGAS,1419,1,11,0,0,hourly,0
51,13,"ТОВ "Носівське хлібоприймальне підприємство"",56WP41E00QLNA00N,1121,CHERNIGIVGAS,9228,3,2,0,0,hourly,0
52,13,"ТОВ "Носівське хлібоприймальне підприємство"",56WP41E00QLNA00N,1122,CHERNIGIVGAS,5502,3,2,0,0,hourly,0
53,14,"ТОВ "Малодівицьке хлібоприймальне підприємство"",56XO000128HLZ00Y,1131,CHERNIGIVGAS,5714,1,5,0,0,hourly,0
54,13,"ТОВ "Носівське хлібоприймальне підприємство"",56WP41E00QLNA00N,1123,CHERNIGIVGAS,5502,3,2,1,0,hourly,0
55,12,"ООО "Днепропресс сталь"",56XO0000UPM5S000,1211,DNIPROGAS,21358,1,15,0,0,hourly,0
56,9,"ТОВ "Кондитерська фабрика "Квітень"",56XSO00000000095,0951,DNIPROGAS,6519,1,5,0,0,hourly,0
57,4,"ВАТ "Полтавський ГЗК"",56XSO00000000444,0451,KREMENCHUKGAS,1282,7,2,0,"Харків, вул. Сагайдачного 14",hourly,0
58,10,"ТОВ "Сучасна Архітектура Міст"",56XSO00000001001,1011,KYIVOBLGAS,7056,1,5,0,0,hourly,0
59,15,"ТОВ "Метало Гальва Україна"",56XSO00000001501,1511,KYIVOBLGAS,7940,1,5,0,0,hourly,0
60,15,"ТОВ "Метало Гальва Україна"",56XSO00000001501,1512,KYIVOBLGAS,7724,1,5,0,0,hourly,0
61,15,"ТзОВ "Кондитерська фабрика "Ярич"",56XSO00000001502,1521,LVIVGAS,29048,2,1,0,0,hourly,0
62,15,"ПрАТ "Теремно Хліб"",56XO00005E5JA00B,1531,VOLYNGAS,7625,1,5,0,0,hourly,0
63,15,"ПрАТ "Теремно Хліб"",56XO00005E5JA00B,1532,VOLYNGAS,7623,1,5,0,0,hourly,0
64,15,"ПрАТ "Компанія Ензим"",56XSO00000001504,1541,LVIVGAS,7778,3,2,0,0,hourly,0
65,15,"ПрАТ "Компанія Ензим"",56XSO00000001504,1542,LVIVGAS,7778,3,2,1,0,hourly,0
66,15,"ТОВ "Технокап УА"",56XSO00000001505,1551,LVIVGAS,43217,2,1,0,0,hourly,0
67,15,"СП "Галка Лтд"",56XSO00000001506,1561,LVIVGAS,7882,1,5,0,0,hourly,0
68,3,"Потребитель 1",56XSO000000000001,00000011,GAS_1,6995,1,5,0,"Тест ул. Тест 1 ",hourly,0
69,3,"Потребитель 2",56XSO000000000002,00000012,GAS_1,6178,1,5,0,"Тест ул. Тест 2",hourly,0
70,3,"Потребитель 3",56XSO000000000003,00000013,GAS_2,2274,1,2,0,"Тест ул. Тест 3 ",hourly,0
71,3,"Потребитель 4",56XSO000000000004,00000014,GAS_2,5591,1,5,0,"Тест ул. Тест 4 ",hourly,0
72,3,"Потребитель 5",56XSO000000000005,00000015,GAS_3,8375,1,5,0,"Тест ул. Тест 5",hourly,0
73,3,"Потребитель 6",56XSO000000000006,00000016,GAS_3,6928,1,5,0,"Тест ул. Тест 6",hourly,0
